date,anxiety,depression,online_therapy,panic_attacks,stress,anxiety_diff,online_diff
2004-03-01,41,73,0,41,35,-2.0,0.0
2004-04-01,45,84,0,50,40,4.0,0.0
2004-05-01,44,83,0,34,43,-1.0,0.0
2004-06-01,44,79,0,41,30,0.0,0.0
2004-07-01,46,74,0,44,28,2.0,0.0
2004-08-01,45,86,0,50,26,-1.0,0.0
2004-09-01,48,89,0,47,24,3.0,0.0
2004-10-01,47,87,0,34,38,-1.0,0.0
2004-11-01,45,74,0,31,36,-2.0,0.0
2004-12-01,41,70,0,27,34,-4.0,0.0
2005-01-01,43,79,0,43,30,2.0,0.0
2005-02-01,42,85,0,48,34,-1.0,0.0
2005-03-01,43,77,0,26,34,1.0,0.0
2005-04-01,43,70,0,45,38,0.0,0.0
2005-05-01,43,80,0,44,39,0.0,0.0
2005-06-01,41,72,0,51,37,-2.0,0.0
2005-07-01,42,66,0,49,27,1.0,0.0
2005-08-01,40,78,0,39,25,-2.0,0.0
2005-09-01,40,67,0,48,28,0.0,0.0
2005-10-01,40,69,0,52,31,0.0,0.0
2005-11-01,39,72,0,49,29,-1.0,0.0
2005-12-01,35,67,0,27,26,-4.0,0.0
2006-01-01,39,65,0,37,32,4.0,0.0
2006-02-01,42,71,0,40,30,3.0,0.0
2006-03-01,42,78,0,43,30,0.0,0.0
2006-04-01,41,78,0,44,29,-1.0,0.0
2006-05-01,39,76,0,36,32,-2.0,0.0
2006-06-01,35,67,0,38,27,-4.0,0.0
2006-07-01,32,54,0,53,22,-3.0,0.0
2006-08-01,33,63,0,52,24,1.0,0.0
2006-09-01,34,66,0,45,24,1.0,0.0
2006-10-01,35,70,0,47,25,1.0,0.0
2006-11-01,35,63,0,44,30,0.0,0.0
2006-12-01,31,64,0,28,26,-4.0,0.0
2007-01-01,36,61,0,32,24,5.0,0.0
2007-02-01,37,78,0,39,28,1.0,0.0
2007-03-01,38,71,0,44,28,1.0,0.0
2007-04-01,34,61,0,29,25,-4.0,0.0
2007-05-01,35,64,0,35,33,1.0,0.0
2007-06-01,33,62,0,33,28,-2.0,0.0
2007-07-01,35,57,0,41,21,2.0,0.0
2007-08-01,36,59,0,50,22,1.0,0.0
2007-09-01,36,59,0,41,22,0.0,0.0
2007-10-01,34,58,0,36,29,-2.0,0.0
2007-11-01,33,66,0,36,29,-1.0,0.0
2007-12-01,30,58,0,38,26,-3.0,0.0
2008-01-01,36,66,0,38,29,6.0,0.0
2008-02-01,35,60,0,37,29,-1.0,0.0
2008-03-01,35,63,0,31,23,0.0,0.0
2008-04-01,35,62,0,32,31,0.0,0.0
2008-05-01,36,62,0,39,32,1.0,0.0
2008-06-01,35,60,0,29,28,-1.0,0.0
2008-07-01,30,58,57,33,21,-5.0,57.0
2008-08-01,34,56,0,34,22,4.0,-57.0
2008-09-01,32,55,0,33,25,-2.0,0.0
2008-10-01,32,58,0,37,25,0.0,0.0
2008-11-01,34,61,51,40,32,2.0,51.0
2008-12-01,29,54,0,29,25,-5.0,-51.0
2009-01-01,31,59,0,28,26,2.0,0.0
2009-02-01,33,56,33,33,25,2.0,33.0
2009-03-01,32,59,0,31,29,-1.0,-33.0
2009-04-01,34,60,63,33,26,2.0,63.0
2009-05-01,34,57,51,36,29,0.0,-12.0
2009-06-01,32,55,50,35,26,-2.0,-1.0
2009-07-01,30,51,48,40,20,-2.0,-2.0
2009-08-01,35,58,37,41,21,5.0,-11.0
2009-09-01,35,55,46,37,23,0.0,9.0
2009-10-01,35,60,56,40,30,0.0,10.0
2009-11-01,35,61,46,44,28,0.0,-10.0
2009-12-01,30,51,43,44,22,-5.0,-3.0
2010-01-01,31,58,49,44,25,1.0,6.0
2010-02-01,34,56,24,39,25,3.0,-25.0
2010-03-01,31,58,41,40,28,-3.0,17.0
